STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,IMPRESSIONS,CLICKS,REVENUE
h5,2015,7,19,7485691,3804,1014
h5,2015,7,20,13318246,4648,1118
h5,2015,7,21,13183723,4884,1066
h5,2015,7,22,12645455,2832,464
h5,2015,7,23,12963138,5227,1055
h5,2015,7,24,11618966,4348,1043
h5,2015,7,25,7804847,4605,1190
h5,2015,7,26,7450569,4283,1145
h5,2015,7,27,13772511,4684,1075
h5,2015,7,28,13048279,4462,1126
h5,2015,7,29,12995785,4619,1191
h5,2015,7,30,12848512,4419,1125
h5,2015,7,31,11925028,3947,1138
h5,2015,8,1,7728268,3647,597
h5,2015,8,2,6835857,3296,565
h5,2015,8,3,13664986,4577,799
h5,2015,8,4,13879657,4784,830
h5,2015,8,5,12980102,4183,694
h5,2015,8,6,13445616,4469,755
h5,2015,8,7,12705121,5513,888
